Stadium|College|Conference|Capacity|Opened
Michigan Stadium|Michigan|Big Ten|107601|1927
Beaver Stadium|Penn State|Big Ten|106572|1960
Ohio Stadium|Ohio State|Big Ten|104944|1922
Kyle Field|Texas A&M|SEC|102733|1904
Neyland Stadium|Tennessee|SEC|102521|1921
Bryant Denny Stadium|Alabama|SEC|101821|1929
Tiger Stadium|LSU|SEC|100500|1924
Royal Memorial Stadium|Texas|Big 12|100119|1924
Los Angeles Coliseum|Southern California|Pac 12|93607|1923
Sanford Stadium|Georgia|SEC|92746|1929
Memorial Stadium|Nebraska|Big Ten|92000|1923
Rose Bowl|UCLA|Pac 12|89702|1921
Ben Hill Griffin Stadium|Florida|SEC|88548|1930
Jordan Hare Stadium|Auburn|SEC|87451|1939
Memorial Stadium|Oklahoma|Big 12|84000|1925
Doak Campbell Stadium|Florida State|ACC|82300|1950
Memorial Stadium|Clemson|ACC|81500|1942
Camp Randall Stadium|Wisconsin|Big Ten|80321|1917
Williams Brice Stadium|South Carolina|SEC|80250|1934
Notre Dame Stadium|Notre Dame|Independent|77622|1930
Spartan Stadium|Michigan State|Big Ten|75005|1923
Razorback Stadium|Arkansas|SEC|72000|1938
Legion Field|UAB|CUSA|71594|1927
Faurot Field|Missouri|SEC|71004|1927
Kinnick Stadium|Iowa|Big Ten|70585|1929
Qualcomm Stadium|San Diego State|Mountain West|70561|1967
Husky Stadium|Washington|Pac 12|70138|1920
Lincoln Financial Field|Temple|AAC|68532|2003
Lane Stadium|Virginia Tech|ACC|66233|1965
Raymond James Stadium|USF|AAC|65857|1998
Heinz Field|Pittsburgh|ACC|65500|2001
Hard Rock Stadium|Miami (Fla.)|ACC|65236|1987
Alamodome|UTSA|CUSA|65000|1993
Davis Wade Stadium|Mississippi State|SEC|64038|1914
LaVell Edwards Stadium|BYU|Independent|63725|1965
Kenan Stadium|North Carolina|ACC|62980|1927
Memorial Stadium|California|Pac 12|62717|1923
Ross Ade Stadium|Purdue|Big Ten|62500|1924
Liberty Bowl|Memphis|AAC|62380|1965
Scott Stadium|Virginia|ACC|61500|1931
Jack Trice Stadium|Iowa State|Big 12|61000|1975
Kroger Field|Kentucky|SEC|61000|1973
Jones AT&T Stadium|Texas Tech|Big 12|60862|1947
Memorial Stadium|Illinois|Big Ten|60670|1923
Boone Pickens Stadium|Oklahoma State|Big 12|60218|1920
Mountaineer Field|West Virginia|Big 12|60000|1980
Vaught Hemingway Stadium|Ole Miss|SEC|58580|1915
Carter Finley Stadium|NC State|ACC|57583|1966
Sun Devil Stadium|Arizona State|Pac 12|56232|1958
Arizona Stadium|Arizona|Pac 12|56037|1928
Bobby Dodd Stadium|Georgia Tech|ACC|55000|1913
Papa John’s Cardinal Stadium|Louisville|ACC|55000|1998
Maryland Stadium|Maryland|Big Ten|54000|1950
Autzen Stadium|Oregon|Pac 12|54000|1967
Folsom Field|Colorado|Pac 12|53750|1924
Memorial Stadium|Indiana|Big Ten|52959|1960
High Point Solutions Stadium|Rutgers|Big Ten|52454|1994
Falcon Stadium|Air Force|Mountain West|52237|1962
Sun Bowl Stadium|UTEP|CUSA|51500|1963
TCF Bank Stadium|Minnesota|Big Ten|50805|2009
Memorial Stadium|Kansas|Big 12|50071|1921
Dowdy Ficklen Stadium|East Carolina|AAC|50000|1963
Bill Snyder Football Stadium|Kansas State|Big 12|50000|1968
Aloha Stadium|Hawaii|Mountain West|50000|1975
Stanford Stadium|Stanford|Pac 12|50000|1921
Carrier Dome|Syracuse|ACC|49250|1980
Ryan Field|Northwestern|Big Ten|47130|1926
Rice Stadium|Rice|CUSA|47000|1950
Reser Stadium|Oregon State|Pac 12|45674|1953
Bright House Networks Stadium|UCF|AAC|45323|2007
McLane Stadium|Baylor|Big 12|45140|2014
Rice Eccles Stadium|Utah|Pac 12|45017|1998
Amon Carter Stadium|TCU|Big 12|45000|1929
Alumni Stadium|Boston College|ACC|44500|1957
Colorado State Stadium|Colorado State|Mountain West|41200|2017
Bulldog Stadium|Fresno State|Mountain West|41031|1980
Ladd Peebles Stadium|South Alabama|Sun Belt|40646|1948
Vanderbilt Stadium|Vanderbilt|SEC|40550|1922
Wallace Wade Stadium|Duke|ACC|40004|1929
Nippert Stadium|Cincinnati|AAC|40000|1916
Rentschler Field|UConn|AAC|40000|2003
TDECU Stadium|Houston|AAC|40000|2014
Dreamstyle Stadium|New Mexico|Mountain West|39224|1960
Joan Edwards Stadium|Marshall|CUSA|38019|1991
Michie Stadium|Army|Independent|38000|1924
Albertsons Stadium|Boise State|Mountain West|37000|1970
Sam Boyd Stadium|UNLV|Mountain West|36800|1971
Roberts Stadium|Southern Mississippi|CUSA|36000|1932
Skelly Field|Tulsa|AAC|35542|1930
Martin Stadium|Washington State|Pac 12|35117|1972
Memorial Stadium|Navy|AAC|34000|1959
Gerald Ford Stadium|SMU|AAC|32000|2000
BB&T Field|Wake Forest|ACC|31500|1968
Floyd Stadium|MTSU|CUSA|31000|1933
Cajun Field|Louisiana-Lafayette|Sun Belt|31000|1971
Centennial Bank Stadium|Arkansas State|Sun Belt|30964|2002
Apogee Stadium|North Texas|CUSA|30850|2011
Joe Aillet Stadium|Louisiana Tech|CUSA|30600|1968
CEFCU Stadium|San Jose State|Mountain West|30456|1933
Malone Stadium|Louisiana-Monroe|Sun Belt|30427|1978
Aggie Memorial Stadium|New Mexico State|Sun Belt|30343|1978
Kelly Shorts Stadium|Central Michigan|MAC|30255|1972
Rynearson Stadium|Eastern Michigan|MAC|30200|1969
Waldo Stadium|Western Michigan|MAC|30200|1939
Yulman Stadium|Tulane|AAC|30000|2014
FAU Stadium|FAU|CUSA|30000|2011
InfoCision Stadium|Akron|MAC|30000|2009
Bobcat Stadium|Texas State|Sun Belt|30000|1981
Veterans Memorial Stadium|Troy|Sun Belt|30000|1950
MacKay Stadium|Nevada|Mountain West|29993|1966
War Memorial Stadium|Wyoming|Mountain West|29181|1950
UB Stadium|Buffalo|MAC|29013|1993
Glass Bowl|Toledo|MAC|26248|1937
Maverik Stadium|Utah State|Mountain West|25513|1968
Dix Stadium|Kent State|MAC|25319|1969
Paulson Stadium|Georgia Southern|Sun Belt|24300|1984
Yager Stadium|Miami (Ohio)|MAC|24286|1983
Kidd Brewer Stadium|Appalachian State|Sun Belt|24150|1962
Huskie Stadium|Northern Illinois|MAC|24000|1965
Peden Stadium|Ohio|MAC|24000|1929
Doyt Perry Stadium|Bowling Green|MAC|23724|1966
FIU Stadium|FIU|CUSA|23500|1995
Georgia State Stadium|Georgia State|Sun Belt|23000|1996
Scheumann Stadium|Ball State|MAC|22500|1967
LT Smith Stadium|Western Kentucky|CUSA|22113|1968
Foreman Field|Old Dominion|CUSA|20118|1936
McGuirk Stadium|UMass|Independent|17000|1965
Kibbie Dome|Idaho|Sun Belt|16000|1975
Jerry Richardson Stadium|Charlotte|CUSA|15314|2013
Brooks Stadium|Coastal Carolina|Sun Belt|15000|2003
